,Proclitic,Ortografía manipulada,verbo conjugado,mandato negativo,infinitivo (clitic climbing),Gerundio (clitic climbing),mandato afirmativo,,,,,,,,,la habrás olvidado
1,abalanzóse,alijerado,la abrazó,jamás te fíes,abrirle,abrazándole,Ábrelos,,,,,,,,,le habrá parecido
2,abríasele,cojéme,la apretaba,no las diga,abrirle,aburriéndome,acéptalo,,,,,,,,,le habrán hecho
3,Abrióse,cojer,la apretó,no le hagas caso,abrirle,aceptándolo,acércate,,,,,,,,,Se habrá tragado
4,Acercóse,cojerla,la apretó,no le llamaremos,abrirle,aceptándomelo,acércate,,,,,,,,,se te habrá
5,Acercóse,cojerse,la apretó,no le llames,absorberme,acercándose,aconséjame,,,,,,,,,te lo habrá
6,acercósele,cojí,la arruinó,no le moteje,aburrirse,acercándose,Acuérdese,,,,,,,,,le hubiera arado
7,Acordóse,cojidas,la atrajo,no lo digas,acabarse,acercándose,acuéstese,,,,,,,,,le hubiese tratado
8,anunciáronle,cojiendo,la cazaba,no lo dude,acabarse,acostúmbrandonos,alégrate,,,,,,,,,lo hubiera creído
9,anunciáronle,cojiéndole,la cobré,no lo dudes,acariciarla,agitándose,alégrate,,,,,,,,,lo hubiese
10,apareciéronsele,cojiéndosela,la cojió,no lo tomes,acatarla,alargándole,alegrémonos,,,,,,,,,lo hubiese creído
11,Apartóse,cojió,la conoces,no los cierres,aceptarle,añadiéndose,ampárame,,,,,,,,,lo hubiese hecho
12,ardíale,cojió,La conocí,no los cierres,aceptarlo,antojándoseme,arrópese,,,,,,,,,me hubiera casado
13,Arrancóle,cojió,la conozcan,no me hable,aceptarlo,anunciándoles,asísteme,,,,,,,,,nos hubiéramos escapado
14,atraíanle,cojió,la conozcas,no me haga,aceptarlo,apartándole,asómbrate,,,,,,,,,te hubiera hecho
15,cantábanle,Cojióla,la conozco,no me olvides,aceptarme,apartándoselos,bástele ,,,,,,,,,la hubiese perdido
16,Ceñíale,cojióle,la crea,no me olvides,acercarse,apretándole,cállate,,,,,,,,,la abrazó
17,cojió,corrijiendo,la crees,no me recuerdes,aconsejarle,apretándose,cállate,,,,,,,,,la apretó
18,Cojióla,encojiéndose,la despachaste,no me recuerdes,aconsejarse,ardiéndole,cállate,,,,,,,,,la apretó
19,cojióle,escojer,la despache,no se exalte,acordarte,arrastrándose,cállate,,,,,,,,,la apretó
20,complacíase,Eujenia,la dijo,no se exalte,acostarme,burlándose,cállate,,,,,,,,,la arruinó
21,deberíase,Eujenia,la dijo,no se exalte,acostarse,buscándole,cállate,,,,,,,,,la atrajo
22,decíase,la cojía,la dio,no se exate,acostarse,buscánolo,cállate,,,,,,,,,la cobré
23,Dejóse,le cojió,la estará,no se incomode,acostarse,casándole,cállate,,,,,,,,,la cojió
24,Despidiéronse,le cojió,la estudia,no te alarmes,acostarse,casándome,cálmate,,,,,,,,,La conocí
25,dijóle,lijera,la estuvo,no te alarmes,acurrucarse,casándome,cálmate,,,,,,,,,la despachaste
26,Díjose,lijerísimo,la fijó,no te burles,admirarla,casándose,cálmate,,,,,,,,,la dijo
27,diose,lijero,la gané,no te cases,admirarme,casándote,cálmate,,,,,,,,,la dijo
28,Diríase,recojer,la ha conquistado,no te cases,admitirme,citándole,cálmate,,,,,,,,,la dio
29,Dirigióse,recojerlas,la había venido,no te hagas,adormecerle,cojiendo,cálmate,,,,,,,,,la estuvo
30,Dirigióse,recojerse,la habrá conquistado,no te mires,agradarle,cojiéndola,cálmate,,,,,,,,,la fijó
31,Echóse,recojida,la habrás olvidado,no te muevas,aguantarnos,cojiéndole,cálmese,,,,,,,,,la gané
32,encendíale,recojido,la he criado,no te sulfures,aguardarse,comiéndoselos,cálmese,,,,,,,,,la levantó
33,Encontráronse,recojido,la he estado mintiendo,,ameguársele,compadeciéndome,cálmese,,,,,,,,,la llamó
34,Encontróse,recojiendo,la he molestado,,andarse ,comprometiéndome,cásate,,,,,,,,,la miró
35,encontróse,recojieron,la he perdido,,aplazarlo,comunicándome,cásate,,,,,,,,,la ofendí
36,encontróse,recojió,la he vuelto,,apoyarse,confesándoselo,cásate,,,,,,,,,la ofendí
37,entrábanle,se dirije,la hubiese perdido,,apretarla,conociéndola,cásate,,,,,,,,,la ofrecí
38,Entráronle,,la leéis,,aprovecharlos,considerándolo,cásate,,,,,,,,,la perdí
39,Entráronle,,la levantó,,apuntarlo,contándola,cásate,,,,,,,,,la quisiste tomar
40,entróle,,la llamaré,,arrancarles,contándolos,cásate,,,,,,,,,la sentí
41,esforzóse,,la llamó,,arrebatársela,convenciéndote,cásate,,,,,,,,,la sentó
42,Fuése,,la miró,,arreglarlo,creyéndolo,cásate,,,,,,,,,la vi
43,Fuése,,la ofendí,,asegurarle,dándole,cásate,,,,,,,,,la vi
44,habíala tenido,,la ofendí,,asentarlo,dejándola,cásate,,,,,,,,,la vio
45,habíanse borrado,,la ofrecí,,asentárseme,dejándola,cásate,,,,,,,,,las reconocieron
46,habíanse tenido,,la perdí,,atenerme,dejándole,cásate,,,,,,,,,las reprodujeron
47,habráse visto,,la puede,,atenerse,dejándole,cásate,,,,,,,,,le acarició
48,habráse visto,,la quería,,atenerse,dejándolo,cásate,,,,,,,,,le acompañó
49,habríase desesperado,,la quería,,atravesarle,depositándose,chapúzate,,,,,,,,,le anunció
50,hízole,,la quiere,,atreverme,derritiéndosele,cójeme,,,,,,,,,le apretó
51,hojeábale,,la quisiste tomar,,atreverse,deslizándose,cónstele,,,,,,,,,le arguyó
52,íbale,,la saco,,atribuirse ,despertándose,consuélese,,,,,,,,,le arrancó
53,íbale,,la salve,,aturdirse,devorándolo,contentémonos,,,,,,,,,le arrastró
54,íbase,,la sentí,,avergonzarnos,diciéndole,créame,,,,,,,,,le arrojó
55,lavóse,,la sentó,,ayudarme,diciéndole,créamelo,,,,,,,,,le aseguraron
56,Levantóse,,la tendrá,,besarle,diciéndole,créemelo,,,,,,,,,le asustó
57,Levantóse,,la tiene,,borrarse,diciéndole,dame,,,,,,,,,le atacaron
58,Levantóse,,la tiene,,burlarnos,diciéndole,dánosle,,,,,,,,,le atajé
59,Levantóse,,la vamos,,burlarse,diciéndole,decídete,,,,,,,,,le azaró
60,Levantóse,,la vi,,burlarse,diciéndoles,decídete,,,,,,,,,le bautizó
61,Levantóse,,la vi,,burlarse,diciéndome,decidme,,,,,,,,,le besó
62,llevóle,,la vio,,buscarme,diciéndome,dedícate,,,,,,,,,le brotaron
63,llevólo,,la volveré,,buscarte,diciéndose,déjalo,,,,,,,,,le cojió
64,metiéronla,,las escribo,,caerse,diciéndose,déjalo,,,,,,,,,le cojió
65,ocurriósele,,las ha empleado,,calmarse,diciéndose,déjame,,,,,,,,,le cojió
66,Oyóse,,las hallase,,cambiarse,diciéndose,déjame,,,,,,,,,le cojió
67,parecíale,,las he seguido,,casarme,diciéndose,déjame,,,,,,,,,le contagié
68,parecíale,,las reconocieron,,casarme,diciéndose,déjame,,,,,,,,,le contesté
69,parecíanle,,las reprodujeron,,casarme,diciéndose,déjame,,,,,,,,,le contesté
70,pasóle,,las tenía,,casarme,diciéndose,déjame,,,,,,,,,le contesté
71,perderíame,,las tienen,,casarme,diciéndose,déjame,,,,,,,,,le contestó
72,piérdese,,le acariciaba,,casarnos,diciéndose,déjame,,,,,,,,,le contestó
73,preguntóle,,le acariciaba,,casarnos,diciéndose,déjame,,,,,,,,,le contestó
74,presentábase,,le acariciamos,,casarnos,diciéndose,déjame,,,,,,,,,le contestó
75,presentábasele,,le acarició,,casarnos,diciéndose,déjame,,,,,,,,,le contestó
76,Púsose,,le aceptas,,Casarse,diciéndose,déjanos,,,,,,,,,le contestó
77,púsose,,le aceptes,,casarse,diciéndose,déjate,,,,,,,,,le contó
78,púsose,,le acompañaré,,casarse,diciéndose,déjate,,,,,,,,,le contuvo
79,Quedáronse,,le acompañaría,,casarse,diciéndose,déjele,,,,,,,,,le convenció
80,quedóse,,le acompañó,,casarse,diciéndose,dejémonos,,,,,,,,,le dejo
81,Quedóse,,le acusa,,casarse,diciéndose ,dejémonos,,,,,,,,,le dejó
82,Quedóse,,le admira,,casarse,diciéndote,dejémoslo,,,,,,,,,le dejó
83,quedóse,,le agitaba,,casarse,dígame,déjenos,,,,,,,,,le dejó
84,quedóse,,le aguarda,,casarse,Dígame,déjese,,,,,,,,,le despertó
85,quedóse,,le ahorran,,casarse,dirigiéndose,déjese,,,,,,,,,le digo
86,quedóse,,le animaba,,casarse,Distrayéndote,déjese,,,,,,,,,le digo
87,repetíale,,le anunció,,casarte,doliéndolo,déjese,,,,,,,,,le digo
88,repúsose,,le apechugaba,,casarte,embozándose,desmuéstremelo,,,,,,,,,le digo
89,sentáronse,,le apretó,,cojerla,encajándomela,desnúdame,,,,,,,,,le digo
90,sentíase,,le ardía,,cojerse,encarándose,desnúdame,,,,,,,,,le dije
91,Sentíase,,le arguyó,,compadecerla,encendiéndole,despáchale,,,,,,,,,le dije
92,Sentíase,,le arrancó,,comparame,encojiéndose,devórate,,,,,,,,,le dije
93,sentíase,,le arrastraba,,completarse,encontrándose,devórate,,,,,,,,,le dije
94,sentíase,,le arrastraran,,comprarla,ensortijándose,devórate,,,,,,,,,le dije
95,sentíase,,le arrastró,,comprarme,escapándose,dígale,,,,,,,,,le dije
96,sentíase,,le arrojó,,comprarme,espereandole,dígalo,,,,,,,,,le dijiste
97,sentóse,,le aseguraron,,comprarme,exaltándose,dígame,,,,,,,,,le dijiste
98,Sentóse,,le asustó,,comprarme,hablándome,dígame,,,,,,,,,le dijiste
99,Sentóse,,le atacaron,,comprarme,hablándose,dile,,,,,,,,,le dijo
100,sentóse,,le atajé,,comprarme,hablándose,dile,,,,,,,,,le dijo
101,separáronse,,le atormentaba,,comprarme,haciéndonos,dile,,,,,,,,,le dijo
102,Sintióse,,le atraía,,comprarme,hallándose,dilo,,,,,,,,,le dijo
103,sintióse,,le ayudase,,comprarme,hurtándose,dilo,,,,,,,,,le dijo
104,soplóle,,le azaró,,comprometeme,imaginándome,dilo,,,,,,,,,le dijo
105,sorprendióse,,le bautizaba,,confiarle,insultándonos,dilo,,,,,,,,,le dijo
106,vese,,le bautizó,,confundirlo,interrumpiéndole,dilo,,,,,,,,,le dijo
107,volvióse,,le besó,,confundirlo,levantándole,dime,,,,,,,,,le dijo
108,volvióse,,le brotaron,,confundirlo,levantándose,dime,,,,,,,,,le dijo
109,volvióse,,le buscaremos,,confundirse,levantándose,dime,,,,,,,,,le dijo
110,,,le busque,,conocerla,levantándose,dime,,,,,,,,,le dijo
111,,,le calentaremos,,conocerle,levantándose,dime,,,,,,,,,le dijo
112,,,le causaba,,conocerle,mintiéndome,dime,,,,,,,,,le dijo
113,,,le coja,,conocerlos,mirándola,dime,,,,,,,,,le dijo
114,,,le cojió,,conocerme,mirándole,dime,,,,,,,,,le dijo
115,,,le cojió,,conocerse,mirándole,dime,,,,,,,,,le dijo
116,,,le cojió,,conocerse,mirándole,dímelo,,,,,,,,,le dijo
117,,,le cojió,,conocerse,mirándome,dímelo,,,,,,,,,le dijo
118,,,le compadezco,,conocerse,mirándome,échame,,,,,,,,,le dijo
119,,,le conocen,,conocerse,mirándome,échame,,,,,,,,,le dijo
120,,,le conoces,,conocerte,mirándome,entiéndase,,,,,,,,,le dijo
121,,,le conocía,,conocerte,mirándose,entiéndase,,,,,,,,,le dijo
122,,,le conozca,,conocerte,ocultándolo,entiéndemelo,,,,,,,,,le dijo
123,,,le conquisten,,conquistarme,oyéndote,entréguele,,,,,,,,,le dijo
124,,,le contagié,,consolarlo,pasándome,escúpeme,,,,,,,,,le dijo
125,,,le contesté,,consolarme,pasándome,estate,,,,,,,,,le dijo
126,,,le contesté,,consultarlo,paseándome,explíquese,,,,,,,,,le dijo
127,,,le contesté,,consultarlo,paseándose,fíese,,,,,,,,,le dijo
128,,,le contestó,,consultarme,ponderándola,fîese,,,,,,,,,le dijo
129,,,le contestó,,consultarme,poniéndole,Figúrate,,,,,,,,,le dijo
130,,,le contestó,,consultármelo,poniéndole,figúrate,,,,,,,,,le dijo
131,,,le contestó,,contagiarse,poniéndole,fíjate,,,,,,,,,le dijo
132,,,le contestó,,contarme,poniéndome,fíjate,,,,,,,,,le dijo
133,,,le contestó,,contenerme,poniéndose,fíjate,,,,,,,,,le dijo
134,,,le contó,,contenerse,poniéndose,fíjese,,,,,,,,,le dijo
135,,,le contuvo,,contenerse,poniéndose,fíjese,,,,,,,,,le dio
136,,,le convenció,,contentarse,poniéndose,guárdatelo,,,,,,,,,le dio
137,,,le corresponde,,contestarla,poniéndose,hazla,,,,,,,,,le dio
138,,,le cortasen,,convencerme,poniéndose,hazlo,,,,,,,,,le dirigió
139,,,le creía,,convencerme,proporcionándome,hazlo,,,,,,,,,le dirigió
140,,,le cubría,,convencerse,prostituyéndonos,hazlos,,,,,,,,,le echó
141,,,le cuesta,,convencerse,rechazándomelo,insúltame,,,,,,,,,le echó
142,,,le cuesta,,convertirse,recobrándose,júrame,,,,,,,,,le echó
143,,,le cueste,,convertirse,recordándole,mírese,,,,,,,,,le empujé
144,,,le cueste,,convertírseme,recordándolo,muéstreme,,,,,,,,,le encontré
145,,,le da,,corregirlo,regalándomelo,Pégame,,,,,,,,,le enlazó
146,,,le da,,correrla,reproduciéndose,Pégame,,,,,,,,,le enseñé
147,,,le da,,cortarle,riéndose,perdóname,,,,,,,,,le entraron
148,,,le da,,costarle,riéndose,perdóname,,,,,,,,,le entraron
149,,,le dan,,crearme,riéndose,perdóname,,,,,,,,,le excitó
150,,,le daría,,creerlas,robándole,perdóname,,,,,,,,,le extrañé
